imdb_id,title,year,runtime,rating,votes,plot
tt0271397,Bhoot Bungla,(1965),145 min,6.3,121,Mystery surrounds a house which is reportedly haunted by singing and dancing ghosts and ghouls.
tt0268416,Lalkar (The Challenge),(1972), ,6.5,121,"India is in a state of war with Japan and former Colonel Kapoor's sons, Rajan and Ram are both with the Indian Armed Forces. While Rajan is a Wing Commander with the Indian Air Force, Ram ...                See full summary »"
tt0249358,Ankahee,(1985),135 min,7.7,121,"Renowned Indian astrologer Jyotibhaskar Pandit Satyanarayan Chaturvedi, wishes a doctor, who is about to perform surgery on a woman, good luck, but also tells him that his patient is going ...                See full summary »"
tt0234211,Massey Sahib,(1986),118 min,7.6,121,Francis Massey works as a clerk in deputy commissioner's office in the colonial administration of British India. He aspires to become one of the rulers and does everything he can to impress his boss.
tt0117470,Return of Jewel Thief,(1996),159 min,4.3,121,"Multi-millionaire Vinay Kumar owns a show-room with Jewels found all over the world in different shape, style and fashion. In order to exhibit something new he seeks permission from the ...                See full summary »"
tt0371558,Bairaag,(1976),149 min,6.3,120,"Thakur Chandrabhan lives a wealthy lifestyle in a small village in India. He is widowed and lives with his sister; a widowed daughter-in-law, Saraswati; and a grand-daughter, Tara, who is ...                See full summary »"
tt0317811,Kasam,(2001),210 min,2.9,120,"In aid of seeking revenge for his dad's death, against a bandit called Kala Daku, Shankar team up with two men, a police inspector, Mangal and a run away convict, Vijay. Shankar makes his ...                See full summary »"
tt0243472,Paap Ki Duniya,(1988),168 min,5.1,120,When a jailer hears that his sister is in love with a guy he is quite delighted to meet this guy only to find out that this guy is none other than a criminal called Pasha. Worst off the ...                See full summary »
tt0155499,Antarnaad,(1991),160 min,6.8,120,The story of Antarnaad is based on the work of Pandurang Shastri which over the last 36 years is revolutionizing the Indian countryside by transforming the lives of people in a way that can...                See full summary »
tt5573110,Yea Toh Two Much Ho Gayaa,(2016),126 min,3.6,119,Lookalike twin brothers living in two different parts of the world get trapped in sticky situations when they unknowingly replace each other.
tt4219300,Gollu Aur Pappu,(2014),112 min,3.8,119,Two butt-head brothers are muddled in the midst of executing a bomb threat. What's worse than a national bomb scare? When the bomb is in the hands of two idiots.
tt3477498,Masala Republic,(2014),135 min,5.1,119,"The government has banned the use of pan masala products in the state. Politicians, the public, the police and the media take advantage of the situation."
tt0461258,Kal: Yesterday and Tomorrow,(2005),120 min,7.0,119,"Bhavna Dayal and Maya Jalan had been fellow collegians and close friends, both come from very wealthy families. Bhavna is in love with another ex-fellow collegian, Tarun Haksar, who also ...                See full summary »"
tt0359169,Do Qaidi,(1989),158 min,4.3,119,Two petty thieves who hate each other escape from police custody while being chained together and go on the run.
tt0309618,Gaddaar,(1995),152 min,3.9,119,Add a Plot
tt0230670,Pyar Ka Mausam,(1969),153 min,6.3,119,"Seema is the only child of widowed Mohan, who is adopted by Mohan's boss, Sardar Ranjit Singh, who has no heir to his estate, as his daughter, Jamuna, eloped with a much poor peasant, Gopal...                See full summary »"
tt0229950,Aya Sawan Jhoom Ke,(1969),173 min,6.3,119,"Wealthy Jaishankar meets and falls in love with Aarti, successfully woos her and agrees to meet with her dad to discuss their marriage. On the way there he ironically runs over him, killing...                See full summary »"
tt0206554,Anpadh,(1962),150 min,6.6,119,"A wealthy, pampered and illiterate woman faces many challenges after her marriage."
tt0155812,Kodiparakkudu,(1989),143 min,5.4,119,"A mafia leader tries to kill policeman Sivagiri, who took down his illegal businesses, with the help of a lookalike. Later, Sivagiri discovers that the leader is responsible for his father's death."
tt0096355,Uttar Dakshin,(1987),155 min,4.2,119,"At the time of his mother's death, Raja comes to know that his father is still alive and living a wealthy life. Raja now befriends Shankran, his step-brother."
tt1499272,London,(II) (2005),149 min,4.0,118,London is an Indian 2005 Tamil language comedy film written by Badri and directed by Sundar C. The film is a remake of Priyadarshan's 2001 Malayalam film Kakkakuyil. The film features ...                See full summary »
tt0363413,Agni Pankh,(2004), ,4.5,118,"Based on the true story of Air Force personnel in Srinagar, Kashmir."
tt0260077,Hotel,(1981),135 min,5.5,118,"Suraj is separated from his love Seema and wants to build a hotel at the location where he met her, he tells his secretary Lalwani to check out the location.Lalwani finds the scenic ...                See full summary »"
tt0239448,Haath Ki Safai,(1974),137 min,6.4,118,"After the tragic passing of his parents, Raj Kumar is also separated from his elder brother. He ends up hungry and penniless in Bombay, and is taken in by a pickpocket thief, Usmanbhai, who...                See full summary »"
tt0157965,Man Pasand,(1980), ,6.3,118,"Kamli belongs to a poor family. She sells datuns for a living. She sells them in local suburban trains as well as on railway platforms. One day she meets a bachelor named Pratap, who would ...                See full summary »"
